id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0001713,2001713,  1713 Bancilhon (1951 SC),1713,Bancilhon,,N,N,13.3,5.716,0.259,0.113,JPL 26,2459000.5,59000,20200531,J2000,0.184551024,2.227881121,1.816723379,3.746432088,61.12663465,256.4547696,252.9587361,2.639038864,0.296391711,2459361.648,20210527.15,1214.608866,3.32541784,0.807891,314.4069405,3.04E-08,5.48E-09,6.85E-08,3.39E-06,5.13E-05,5.26E-05,1.47E-05,6.49E-09,1.09E-09,5.03E-05,4.48E-06,MBA,0.46525
a0001714,2001714,  1714 Sy (1951 OA),1714,Sy,,N,N,11.9,13.998,0.157,0.881,JPL 36,2459000.5,59000,20200531,J2000,0.153796874,2.567464052,2.172596106,7.972892988,300.8928871,321.2779971,289.3918107,2.962331998,0.239578321,2459295.219,20210321.72,1502.640134,4.114004475,1.16336,452.7448112,2.68E-08,7.94E-09,6.96E-08,3.93E-06,2.45E-05,2.86E-05,1.64E-05,9.16E-09,1.11E-09,6.87E-05,6.97E-06,MBA,0.43492
a0001715,2001715,  1715 Salli (1938 GK),1715,Salli,,N,N,12.3,24.165,0.044,0.22,JPL 34,2459000.5,59000,20200531,J2000,0.241186053,2.398450324,1.819977558,11.47022968,38.9367442,209.3315516,4.152146777,2.97692309,0.265343212,2458984.852,20200515.35,1356.733407,3.714533626,0.816161,317.6253764,3.71E-08,6.36E-09,8.99E-08,4.29E-06,1.69E-05,1.88E-05,1.02E-05,7.90E-09,1.06E-09,3.84E-05,5.40E-06,MBA,0.44557
a0001716,2001716,  1716 Peter (1934 GF),1716,Peter,,N,N,12,26.656,0.044,0.116,JPL 37,2459000.5,59000,20200531,J2000,0.089659443,2.733656098,2.488558013,5.733898333,243.6390355,315.9100847,3.006882117,2.978754182,0.21806615,2458986.711,20200517.21,1650.875202,4.519849972,1.48914,579.5286138,3.63E-08,9.17E-09,9.97E-08,3.58E-06,3.73E-05,4.18E-05,1.83E-05,1.00E-08,1.10E-09,8.41E-05,8.31E-06,MBA,0.43753
a0001717,2001717,  1717 Arlon (1954 AC),1717,Arlon,,N,N,12.2,8.484,0.287,0.183,JPL 66,2459000.5,59000,20200531,J2000,0.128857659,2.196345259,1.913329351,6.187452228,340.4571152,115.9518012,167.0358192,2.479361166,0.302798108,2458448.859,20181126.36,1188.910995,3.255060902,0.939473,365.6147074,3.01E-08,4.99E-09,6.58E-08,4.68E-06,2.65E-05,3.18E-05,1.71E-05,5.63E-09,1.03E-09,5.62E-05,4.05E-06,MBA,0.40449
a0001718,2001718,  1718 Namibia (1942 RX),1718,Namibia,,N,N,13.7,9.747,0.074,0.112,JPL 35,2459000.5,59000,20200531,J2000,0.276979548,2.365761467,1.710493925,7.701736441,202.8375795,133.6078274,138.4542578,3.021029009,0.270861727,2458489.338,20190105.84,1329.09143,3.638854018,0.712774,277.3902576,2.62E-08,6.17E-09,6.21E-08,3.77E-06,2.43E-05,2.54E-05,8.23E-06,7.87E-09,1.06E-09,2.94E-05,5.20E-06,MBA,0.49212
a0001719,2001719,  1719 Jens (1950 DP),1719,Jens,,N,N,11.7,19.914,0.085,0.086,JPL 36,2459000.5,59000,20200531,J2000,0.22295873,2.655236886,2.063228642,14.28403575,323.43214,57.94644536,189.4764053,3.247245129,0.227797611,2459749.075,20220618.57,1580.3502,4.326763038,1.10125,428.5734625,3.61E-08,8.47E-09,9.71E-08,5.08E-06,1.35E-05,1.74E-05,1.17E-05,1.04E-08,1.09E-09,5.35E-05,7.56E-06,MBA,0.40022
a0001720,2001720,  1720 Niels (1935 CQ),1720,Niels,,N,N,12.8,6.394,0.227,0.091,JPL 32,2459000.5,59000,20200531,J2000,0.10403659,2.18885366,1.961132789,0.730228606,127.8503445,308.7256107,184.8112522,2.416574531,0.304353979,2459576.109,20211227.61,1182.833231,3.238420894,0.976475,380.0147758,2.68E-08,4.66E-09,5.79E-08,3.92E-06,0.00024535,0.00024622,2.08E-05,5.14E-09,9.71E-10,6.87E-05,3.77E-06,MBA,0.44778
a0001721,2001721,  1721 Wells (1953 TD3),1721,Wells,,N,N,10.9,43.576,0.045,0.166,JPL 33,2459000.5,59000,20200531,J2000,0.048702189,3.145578701,2.992382133,16.12287547,317.0975822,138.1826643,277.5631572,3.29877527,0.176666108,2459467.125,20210909.63,2037.742297,5.579034353,2.02489,788.0264413,4.14E-08,1.65E-08,1.31E-07,5.87E-06,1.48E-05,6.00E-05,5.90E-05,1.73E-08,1.39E-09,0.0003353,1.61E-05,MBA,0.40478
a0001722,2001722,  1722 Goffin (1938 EG),1722,Goffin,,N,N,12,10.29,0.224,0.118,JPL 38,2459000.5,59000,20200531,J2000,0.050023879,2.513244042,2.387521826,5.465826088,168.0253257,284.9743026,287.5288684,2.638966258,0.247372878,2459293.463,20210319.96,1455.29293,3.984374893,1.41129,549.2317293,3.27E-08,7.97E-09,8.36E-08,3.64E-06,3.84E-05,5.46E-05,4.03E-05,8.37E-09,1.18E-09,0.0001632,6.92E-06,MBA,0.45474
